,codigo_cvm,cnpj,nome_social,nome_comercial,status,telefone,uf,municipio,logradouro,data_patrimonio_liquido,valor_patrimonio_liquido,data_inicio_situacao,data_registro
96,3700,27842177000191,"IB CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS S.A.","IB CORRETORA DE C-MBIO, T-TULOS E VALORES MOBILI-RIOS LTDA.",EM FUNCIONAMENTO NORMAL,29702933,SP,SAO PAULO,AV. QUEIROZ FILHO 1700 TORRE-A,2022-12-31,3888727.53,2017-12-22,2017-12-22
97,3603,9105360000122,ICAP DO BRASIL CTVM LTDA,ICAP DO BRASIL DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA,EM FUNCIONAMENTO NORMAL,39564200,RJ,RIO DE JANEIRO,"AV. DAS AMERICAS, Nº 3500",2022-12-31,44864943.32,2008-12-29,2008-12-29
98,1899,61757423000145,INCENTIVO PARTICIPAÇÕES S.A.,INCENTIVO PARTICIPAÇÕES S.A.,CANCELADA,31885555,SP,SAO PAULO,"RUA IAIA, Nº 77, 2º ANDAR",2001-12-31,11860692.89,2002-08-13,1967-07-14
99,3360,3014007000150,"INFINITY CORRETORA DE CAMBIO, TITULOS E VALS MOBILIARIOS S/A",INFINITY CCTVM,CANCELADA,30490770,SP,SAO PAULO,"RUA FUNCHAL, 418",2021-12-31,1164401.65,2022-07-22,1999-05-07
100,108,4848115000191,ING CCT S.A.,ING CORRETORA,CANCELADA,45046033,SP,SAO PAULO,AV. PRES. JUSCELINO KUBITSCHEK,2021-12-31,326344505.47,2022-09-21,1983-04-13
101,3280,92922525000100,INTEGRAL PARTICIPAÇÕES E EMPREENDIMENTOS LTDA.,INTEGRAL S.A.,CANCELADA,22620123,RJ,RIO DE JANEIRO,"R MARQUES S. VICENTE,99/3 AND.",2000-12-31,3524759.67,2001-06-01,1998-08-21
102,2364,78942398000172,INTERAÇÃO - ASSESSORIA E CONSULTORIA LTDA,RENDICAP,CANCELADA,33222711,PR,CURITIBA,R.BENJ.CONSTANT 67/ 9 AND/ 901,1996-12-31,226667.53,1997-02-12,1985-08-20
103,3255,21592209000161,INTERBANK S/A CCTVM,INTERBANK,CANCELADA,25330238,RJ,RIO DE JANEIRO,AV RIO BRANCO 181/ 30 ANDAR,2000-12-31,4856560.86,2001-04-18,1998-03-17
104,3263,169331000150,INTERBOLSA DO BRASIL ADMINISTRADORA DE BENS LTDA.,FINABANK,CANCELADA,40834200,SP,SAO PAULO,AV. BRIGADEIRO FARIA LIMA 1663,2012-12-31,13750199.94,2013-10-08,1994-08-11
105,3506,4020986000112,INTERFLOAT HZ ADMINISTRAÇÃO DE BENS PRÓPRIOS E PARTICIPAÇÕES LTDA,INTERFLOAT HZ CCTVM LTDA,CANCELADA,30802050,SP,SAO PAULO,"AV BRIGADEIRO FARIA LIMA, 3311",2013-12-31,57405543.9,2015-08-21,2001-08-08
